,loss,accuracy,val_loss,val_accuracy
0,1.377242446,0.305555552,1.390886188,0.266666681
1,1.367369771,0.308888882,1.387984276,0.266666681
2,1.364024758,0.308888882,1.382610083,0.266666681
3,1.360312223,0.308888882,1.380345464,0.266666681
4,1.356170416,0.308888882,1.376207709,0.266666681
5,1.350629091,0.311111122,1.389282942,0.266666681
6,1.353422046,0.308888882,1.38010931,0.266666681
7,1.349044919,0.308888882,1.368525505,0.266666681
8,1.340028882,0.311111122,1.36310041,0.270000011
9,1.339254975,0.318888903,1.355756521,0.283333331
10,1.330860019,0.313333333,1.357823133,0.263333321
11,1.326073289,0.311111122,1.347810745,0.270000011
12,1.320911765,0.312222213,1.352254272,0.270000011
13,1.319390893,0.316666663,1.345834374,0.276666671
14,1.312955737,0.332222223,1.333684206,0.316666663
15,1.310544491,0.340000004,1.335922122,0.316666663
16,1.305546522,0.354444444,1.326924205,0.366666675
17,1.305252194,0.354444444,1.324351788,0.363333344
18,1.299233437,0.352222234,1.326691508,0.343333334
19,1.29305768,0.353333324,1.323913097,0.316666663
20,1.295137882,0.362222224,1.322973013,0.353333324
21,1.286487341,0.360000014,1.325974584,0.356666654
22,1.284631371,0.373333335,1.334051132,0.306666672
23,1.285360456,0.358888894,1.316538095,0.376666665
24,1.277324796,0.373333335,1.320457816,0.360000014
25,1.272503018,0.379999995,1.322172046,0.370000005
26,1.270326257,0.375555545,1.316482186,0.366666675
27,1.268017173,0.373333335,1.31071341,0.363333344
28,1.270672441,0.401111126,1.314444423,0.349999994
29,1.256413579,0.374444455,1.305992603,0.393333346
30,1.254416943,0.391111106,1.331244946,0.333333343
31,1.253176689,0.389999986,1.312064886,0.370000005
32,1.246158004,0.404444456,1.305760145,0.370000005
33,1.241107225,0.417777777,1.309135079,0.353333324
34,1.240430236,0.413333327,1.303091526,0.366666675
35,1.234395623,0.397777766,1.301193476,0.370000005
36,1.244874358,0.407777786,1.295352936,0.353333324
37,1.233384848,0.418888897,1.298342943,0.423333347
38,1.235826254,0.411111116,1.298641562,0.370000005
39,1.226762056,0.416666657,1.319515586,0.340000004
40,1.215545654,0.413333327,1.299104452,0.366666675
41,1.211697817,0.419999987,1.298847079,0.353333324
42,1.20879662,0.408888876,1.290914059,0.376666665
43,1.211623907,0.423333347,1.288612485,0.370000005
44,1.203724384,0.434444457,1.335263252,0.340000004
45,1.202042699,0.417777777,1.314379334,0.349999994
46,1.195556045,0.427777767,1.298417211,0.356666654
47,1.189265728,0.437777787,1.319454908,0.343333334
48,1.188890696,0.436666667,1.29466188,0.360000014
49,1.19278729,0.432222217,1.302480817,0.349999994
50,1.187930226,0.436666667,1.308648705,0.343333334
51,1.179130435,0.458888888,1.304301143,0.346666664
52,1.173060179,0.451111108,1.299727559,0.349999994
53,1.171572804,0.441111118,1.291746616,0.373333335
54,1.168751121,0.454444438,1.290510654,0.349999994
55,1.162807703,0.462222219,1.295807004,0.360000014
56,1.162943125,0.466666669,1.31285584,0.363333344
57,1.151206136,0.469999999,1.302324653,0.366666675
58,1.145644784,0.465555549,1.302711844,0.346666664
59,1.155540824,0.472222209,1.290943265,0.360000014
60,1.152052402,0.457777768,1.286095858,0.379999995
61,1.145936847,0.474444449,1.290582299,0.366666675
62,1.134662867,0.485555559,1.309036374,0.370000005
63,1.129467964,0.48777777,1.29146874,0.376666665
64,1.131165147,0.473333329,1.305829287,0.363333344
65,1.123571277,0.49666667,1.306111097,0.366666675
66,1.121707797,0.49555555,1.300760984,0.366666675
67,1.115556359,0.49777779,1.298375487,0.376666665
68,1.113970041,0.50777775,1.312469482,0.400000006
69,1.114169121,0.513333321,1.323206425,0.383333325
70,1.10721004,0.50777775,1.309806466,0.389999986
71,1.100689411,0.518888891,1.290810466,0.379999995
72,1.096490026,0.525555551,1.326274514,0.386666656
73,1.091889739,0.51222223,1.328994393,0.383333325
74,1.090093136,0.51222223,1.29189539,0.393333346
75,1.092696071,0.534444451,1.300066233,0.403333336
76,1.088137746,0.533333361,1.311087012,0.389999986
77,1.095654964,0.516666651,1.338174343,0.379999995
78,1.084551334,0.525555551,1.323149085,0.376666665
79,1.073321104,0.534444451,1.312764645,0.386666656
80,1.073529959,0.541111112,1.311932445,0.389999986
AVG,1.219923131,0.416351165,1.320058815,0.347818932
MIN,1.073321104,0.305555552,1.286095858,0.263333321
MAX,1.377242446,0.541111112,1.390886188,0.423333347
